Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Rui Patrício,"Feb 15, 1988 (33)",Goalkeeper,€10.00m,"Jun 30, 2022","Jul 1, 2018",37,0,0,13,'1'
John Ruddy,"Oct 24, 1986 (34)",Goalkeeper,€800k,"Jun 30, 2022","Jul 10, 2017",8,0,0,13,'0'
Matija Sarkic,"Jul 23, 1997 (23)",Goalkeeper,€100k,"Jun 30, 2025","Jul 27, 2020",29,0,0,13,'0'
Conor Coady,"Feb 25, 1993 (28)",Defender - Centre-Back,€25.00m,"Jun 30, 2025","Jul 3, 2015",40,1,0,13,'0'
Willy Boly,"Feb 3, 1991 (30)",Defender - Centre-Back,€14.00m,"Jun 30, 2023","Jul 1, 2018",23,1,1,13,'0'
Romain Saïss,"Mar 26, 1990 (31)",Defender - Centre-Back,€10.00m,"Jun 30, 2022","Aug 30, 2016",30,3,0,13,'0'
Maximilian Kilman,"May 23, 1997 (24)",Defender - Centre-Back,€4.50m,"Jun 30, 2028","Aug 9, 2018",20,0,2,13,'0'
Rúben Vinagre,"Apr 9, 1999 (22)",Defender - Left-Back,€5.00m,"Jun 30, 2024","Jul 1, 2018",27,0,3,13,'0'
Marçal,"Feb 19, 1989 (32)",Defender - Left-Back,€1.80m,"Jun 30, 2022","Sep 1, 2020",15,0,0,13,'0'
Nélson Semedo,"Nov 16, 1993 (27)",Defender - Right-Back,€28.00m,"Jun 30, 2025","Sep 23, 2020",35,1,1,13,'0'
Jonny Otto,"Mar 3, 1994 (27)",Defender - Right-Back,€15.00m,"Jun 30, 2024","Jan 31, 2019",8,0,0,13,'0'
Ki-Jana Hoever,"Jan 18, 2002 (19)",Defender - Right-Back,€7.00m,"Jun 30, 2026","Sep 19, 2020",18,0,0,13,'0'
Oskar Buur,"Mar 31, 1998 (23)",Defender - Right-Back,€300k,"Jan 31, 2022","Jan 1, 2020",22,2,2,13,'0'
Rúben Neves,"Mar 13, 1997 (24)",Midfield - Defensive Midfield,€45.00m,"Jun 30, 2024","Jul 8, 2017",40,5,2,13,'0'
Leander Dendoncker,"Apr 15, 1995 (26)",Midfield - Defensive Midfield,€30.00m,"Jun 30, 2023","Jul 1, 2019",37,1,0,13,'0'
Owen Otasowie,"Jan 6, 2001 (20)",Midfield - Defensive Midfield,€1.50m,"Jun 30, 2022","Jan 1, 2021",13,0,1,13,'1'
João Moutinho,"Sep 8, 1986 (34)",Midfield - Central Midfield,€4.00m,"Jun 30, 2023","Jul 24, 2018",36,1,1,13,'0'
Morgan Gibbs-White,"Jan 27, 2000 (21)",Midfield - Attacking Midfield,€7.00m,"Jun 30, 2024","Jan 1, 2017",19,2,1,13,'0'
Pedro Neto,"Mar 9, 2000 (21)",Attack - Right Winger,€35.00m,"Jun 30, 2027","Aug 2, 2019",35,5,6,13,'0'
Adama Traoré,"Jan 25, 1996 (25)",Attack - Right Winger,€30.00m,"Jun 30, 2023","Aug 8, 2018",41,3,2,13,'0'
Daniel Podence,"Oct 21, 1995 (25)",Attack - Right Winger,€25.00m,"Jun 30, 2025","Jan 30, 2020",25,3,2,13,'0'
Diogo Jota,"Dec 4, 1996 (24)",Attack - Centre-Forward,€45.00m,"Jun 30, 2027","Sep 19, 2020",30,13,1,3,'0'
Raúl Jiménez,"May 5, 1991 (30)",Attack - Centre-Forward,€28.00m,"Jun 30, 2024","Jul 1, 2019",11,4,0,13,'0'
Fábio Silva,"Jul 19, 2002 (18)",Attack - Centre-Forward,€25.00m,"Jun 30, 2025","Sep 5, 2020",37,6,3,13,'0'
Patrick Cutrone,"Jan 3, 1998 (23)",Attack - Centre-Forward,€9.00m,"Jun 30, 2023","Jul 30, 2019",24,0,1,13,'0'
