Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alex McCarthy,"Dec 3, 1989 (31)",Goalkeeper,€5.00m,"Jun 30, 2026","Aug 1, 2016",9,0,0,20,0
Angus Gunn,"Jan 22, 1996 (25)",Goalkeeper,€3.00m,"Jun 30, 2025","Jul 1, 2021",43,0,0,20,0
Fraser Forster,"Mar 17, 1988 (33)",Goalkeeper,€3.00m,"Jun 30, 2025","Jul 1, 2022",1,0,0,5,0
Jan Bednarek,"Apr 12, 1996 (25)",Defender - Centre-Back,€25.00m,"Jun 30, 2027","Jul 1, 2017",47,2,0,20,0
Jannik Vestergaard,"Aug 3, 1992 (28)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Aug 13, 2021",44,2,0,20,0
Mohammed Salisu,"Apr 17, 1999 (22)",Defender - Centre-Back,€10.00m,"Jun 30, 2028","Aug 1, 2023",13,0,1,2,0
Jack Stephens,"Jan 27, 1994 (27)",Defender - Centre-Back,€5.00m,"Jun 30, 2025","Jul 1, 2013",30,0,1,20,0
Kyle Walker-Peters,"Apr 13, 1997 (24)",Defender - Right-Back,€18.00m,"Jun 30, 2025","Aug 11, 2020",47,3,3,20,0
Ibrahima Diallo,"Mar 8, 1999 (22)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2025","Jul 19, 2023",16,3,1,20,1
Mario Lemina,"Sep 1, 1993 (27)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2025","Jan 13, 2023",39,5,1,14,1
Oriol Romeu,"Sep 24, 1991 (29)",Midfield - Defensive Midfield,€6.00m,"Jun 30, 2025","Jul 19, 2023",37,0,1,2,0
James Ward-Prowse,"Nov 1, 1994 (26)",Midfield - Central Midfield,€30.00m,"Jun 30, 2027","Aug 14, 2023",52,7,12,9,0
Will Smallbone,"Feb 21, 2000 (21)",Midfield - Central Midfield,€2.00m,"Jun 30, 2026","Jan 1, 2020",50,7,4,20,0
Nathan Tella,"Jul 5, 1999 (21)",Midfield - Right Midfield,€2.00m,"Jun 30, 2028","Aug 27, 2023",42,7,6,1,0
Moussa Djenepo,"Jun 15, 1998 (23)",Attack - Left Winger,€13.00m,"Jun 30, 2025","Sep 5, 2023",31,1,0,20,0
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,"Jun 30, 2027","Jul 1, 2022".31,9,6,2,0
Nathan Redmond,"Mar 6, 1994 (27)",Attack - Right Winger,€18.00m,"Jun 30, 2025","Jul 1, 2023",15,0,0,19,0
Mohamed Elyounoussi,"Aug 4, 1994 (26)",Attack - Right Winger,€12.00m,"Jun 30, 2027","Jul 27, 2023",46,14,7,20,0
Danny Ings,"Jul 23, 1992 (28)",Attack - Centre-Forward,€22.00m,"Jun 30, 2025","Jan 20, 2023",30,1,0,9,0
Ché Adams,"Jul 13, 1996 (24)",Attack - Centre-Forward,€20.00m,"Jun 30, 2024","Jul 1, 2019",46,17,6,20,1
