Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Andreas Christensen,"Apr 10, 1996 (25)",Defender - Centre-Back,€30.00m,"Jun 30, 2026","Jul 4, 2022",42,3,2,2,0
Edouard Mendy,"Mar 1, 1992 (29)",Goalkeeper,€25.00m,"Jun 30, 2023","Sep 24, 2020",45,0,0,4,0
Edouard Mendy,"Mar 1, 1992 (29)",Goalkeeper,€25.00m,"Jun 30, 2023","Sep 24, 2020",49,0,0,3,0
Ruben Loftus-Cheek,"Jan 23, 1996 (25)",Midfield - Central Midfield,€18.00m,"Jun 30, 2024","Jan 1, 2015",40,1,4,3,0
Michy Batshuayi,"Oct 2, 1993 (27)",Attack - Centre-Forward,€10.00m,"Jun 30, 2024","Sep 2, 2022",32,20,2,20,0
Reece James,"Dec 8, 1999 (21)",Defender - Right-Back,€40.00m,"Jun 30, 2028","Jul 1, 2019",47,1,5,4,0
Hakim Ziyech,"Mar 19, 1993 (28)",Attack - Right Winger,€38.00m,"Jun 30, 2024","Jul 1, 2020",44,8,6,3,0
Jorginho,"Dec 20, 1991 (29)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Jan 31, 2023",36,1,2,2,0
Tino Livramento,"Nov 12, 2002 (18)",Defender - Right-Back,€35.00,"Jun 30, 2026","Aug 2, 2021",32,1,1,15,0
Charly Musonda Jr.,"Oct 15, 1996 (24)",Attack - Left Winger,€1.00m,"Sep 23, 2024","Sep 30, 2023",11,0,1,20,0
Conor Gallagher,"Feb 6, 2000 (21)",Midfield - Central Midfield,€15.00m,"Jun 30, 2025","Jul 1, 2022",45,3,1,12,0
Jorginho,"Dec 20, 1991 (29)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2023","Jul 14, 2018",43,8,2,4,0
César Azpilicueta,"Aug 28, 1989 (31)",Defender - Centre-Back,€13.00m,"Jun 30, 2023","Aug 24, 2012",43,1,3,4,0
Mason Mount,"Jan 10, 1999 (22)",Midfield - Attacking Midfield,€75.00m,"Jun 30, 2024","Jul 1, 2019",54,9,9,4,0
Willy Caballero,"Sep 28, 1981 (39)",Goalkeeper,€250k,"Jun 30, 2023","Dec 6, 2021",4,0,0,15,0
Willy Caballero,"Sep 28, 1981 (39)",Goalkeeper,€250k,"Jun 30, 2023","Dec 6, 2021",1,0,0,20,0
Hakim Ziyech,"Mar 19, 1993 (28)",Attack - Right Winger,€38.00m,"Jun 30, 2024","Jul 1, 2020",24,0,3,12,0
Mateo Kovacic,"May 6, 1994 (27)",Midfield - Central Midfield,€45.00m,"Jun 30, 2024","Jul 1, 2019",42,0,2,4,0
Olivier Giroud,"Sep 30, 1986 (34)",Attack - Centre-Forward,€4.00m,"Jun 30, 2024","Jul 17, 2021",47,18,7,4,0
Marcos Alonso,"Dec 28, 1990 (30)",Defender - Left-Back,€12.00m,"Aug 28, 2024","Sep 1, 2022",8,0,0,1,0
Fikayo Tomori,"Dec 19, 1997 (23)",Defender - Centre-Back,€28.00m,"Jun 30, 2027","Jul 1, 2021",40,1,0,1,0
Ben Chilwell,"Dec 21, 1996 (24)",Defender - Left-Back,€45.00m,"Jun 30, 2027","Aug 26, 2020",13,3,1,3,0
N'Golo Kanté,"Mar 29, 1991 (30)",Midfield - Defensive Midfield,€55.00m,"Jun 30, 2023","Jul 16, 2016",48,0,3,4,0
Tammy Abraham,"Oct 2, 1997 (23)",Attack - Centre-Forward,€38.00m,"Jun 30, 2025","Aug 17, 2021",54,9,6,6,0
Edouard Mendy,"Mar 1, 1992 (29)",Goalkeeper,€25.00m,"Jun 30, 2026","Jul 1, 2023",35,0,0,3,0
César Azpilicueta,"Aug 28, 1989 (31)",Defender - Centre-Back,€13.00m,"Jun 30, 2023","Aug 24, 2012",47,3,3,3,0
Ben Chilwell,"Dec 21, 1996 (24)",Defender - Left-Back,€45.00m,"Jun 30, 2027","Aug 26, 2020",21,0,1,3,0
Emerson,"Aug 3, 1994 (26)",Defender - Left-Back,€12.00m,"Aug 23, 2022","Jan 30, 2018",15,1,0,4,0
Kepa Arrizabalaga,"Oct 3, 1994 (26)",Goalkeeper,€13.00m,"Jun 30, 2025","Aug 8, 2018",20,0,0,6,0
Thiago Silva,"Sep 22, 1984 (36)",Defender - Centre-Back,€3.00m,"Jun 30, 2024","Aug 28, 2020",34,2,0,4,0
Izzy Brown,"Jan 7, 1997 (24)",Attack - Left Winger,€1.60m,"Jul 1, 2022","Jul 1, 2021",0,0,0,20,0
Olivier Giroud,"Sep 30, 1986 (34)",Attack - Centre-Forward,€4.00m,"Jun 30, 2024","Jul 17, 2021",38,14,4,1,0
Ross Barkley,"Dec 5, 1993 (27)",Midfield - Central Midfield,€20.00m,"Aug 29, 2022","Jan 5, 2018",27,4,1,4,0
Kai Havertz,"Jun 11, 1999 (22)",Attack - Centre-Forward,€70.00m,"Jun 30, 2025","Sep 4, 2020",47,14,5,3,0
Reece James,"Dec 8, 1999 (21)",Defender - Right-Back,€40.00m,"Jun 30, 2028","Jul 1, 2019",39,6,10,3,0
Ben Chilwell,"Dec 21, 1996 (24)",Defender - Left-Back,€45.00m,"Jun 30, 2027","Aug 26, 2020",42,4,7,4,0
Reece James,"Dec 8, 1999 (21)",Defender - Right-Back,€40.00m,"Jun 30, 2028","Jul 1, 2019",11,0,2,3,0
Kepa Arrizabalaga,"Oct 3, 1994 (26)",Goalkeeper,€13.00m,"Jun 30, 2025","Aug 8, 2018",15,0,0,3,0
Timo Werner,"Mar 6, 1996 (25)",Attack - Left Winger,€65.00m,"Jun 30, 2025","Jul 1, 2020",52,12,11,4,0
Jake Clarke-Salter,"Sep 22, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2026","Jul 1, 2022",33,1,1,20,0
Michy Batshuayi,"Oct 2, 1993 (27)",Attack - Centre-Forward,€10.00m,"Jun 30, 2023","Jul 3, 2016",20,2,1,4,0
Fikayo Tomori,"Dec 19, 1997 (23)",Defender - Centre-Back,€28.00m,"Jun 30, 2027","Jul 1, 2021",45,1,1,4,0
Ethan Ampadu,"Sep 14, 2000 (20)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2024","Jul 1, 2017",29,0,0,4,0
Kai Havertz,"Jun 11, 1999 (22)",Attack - Centre-Forward,€70.00m,"Jun 30, 2025","Sep 4, 2020",45,9,6,4,0
Antonio Rüdiger,"Mar 3, 1993 (28)",Defender - Centre-Back,€28.00m,"Jun 30, 2022,Jul 9"," 2017""",34,1,1,4,0
Ruben Loftus-Cheek,"Jan 23, 1996 (25)",Midfield - Central Midfield,€18.00m,"Jun 30, 2024","Jan 1, 2015",33,1,0,4,0
Mateo Kovacic,"May 6, 1994 (27)",Midfield - Central Midfield,€45.00m,"Jun 30, 2024","Jul 1, 2019",44,2,6,3,0
Marcos Alonso,"Dec 28, 1990 (30)",Defender - Left-Back,€12.00m,"Sep 1, 2022","Aug 31, 2016",17,2,0,4,0
Antonio Rüdiger,"Mar 3, 1993 (28)",Defender - Centre-Back,€28.00m,"Jun 30, 2026","Jul 1, 2022",49,2,2,1,0
