Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Kasper Schmeichel,"Nov 5, 1986 (34)",Goalkeeper,€6.00m,"Jun 30, 2024","Sep 5, 2023",32,0,0,20,1
Danny Ward,"Jun 22, 1993 (28)",Goalkeeper,€6.00m,"Jun 30, 2025","Jul 20, 2018",2,0,0,20,0
Çağlar Söyüncü,"May 23, 1996 (25)",Defender - Centre-Back,€45.00m,"Jun 30, 2027","Jul 5, 2023",25,2,1,4,1
Wesley Fofana,"Dec 17, 2000 (20)",Defender - Centre-Back,€40.00m,"Jun 30, 2029","Aug 31, 2022",0,0,0,6,0
Jonny Evans,"Jan 3, 1988 (33)",Defender - Centre-Back,€7.00m,"Jun 30, 2025","Jul 18, 2023",30,0,1,8,0
Daniel Amartey,"Dec 21, 1994 (26)",Defender - Centre-Back,€5.00m,"Jun 30, 2023","Jan 22, 2016",27,1,0,20,0
Luke Thomas,"Jun 10, 2001 (20)",Defender - Left-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",25,0,0,20,0
Ricardo Pereira,"Oct 6, 1993 (27)",Defender - Right-Back,€30.00m,"Jun 30, 2026","Jul 1, 2018",45,4,3,20,0
Timothy Castagne,"Dec 5, 1995 (25)",Defender - Right-Back,€28.00m,"Jun 30, 2027","Aug 29, 2023",39,1,3,20,0
James Justin,"Feb 23, 1998 (23)",Defender - Right-Back,€17.00m,"Jun 30, 2026","Jul 1, 2019",45,2,2,20,0
Wilfred Ndidi,"Dec 16, 1996 (24)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2027","Jan 3, 2017",36,6,6,20,0
Nampalys Mendy,"Jun 23, 1992 (29)",Midfield - Defensive Midfield,€8.00m,"Jun 30, 2025","Sep 4, 2023",22,0,1,7,0
Hamza Choudhury,"Oct 1, 1997 (23)",Midfield - Defensive Midfield,€7.00m,"Jun 30, 2027","Jan 1, 2018",41,0,1,20,0
Youri Tielemans,"May 7, 1997 (24)",Midfield - Central Midfield,€55.00m,"Jun 30, 2027","Jul 1, 2023",46,3,7,4,0
Dennis Praet,"May 14, 1994 (27)",Midfield - Central Midfield,€18.00m,"Jun 30, 2024","Aug 8, 2019",20,1,1,20,0
Kiernan Dewsbury-Hall,"Sep 6, 1998 (22)",Midfield - Central Midfield,€22.00m,"Jun 30, 2027","Jul 1, 2021",49,12,15,20,1
James Maddison,"Nov 23, 1996 (24)",Midfield - Attacking Midfield,€55.00m,"Jun 30, 2028","Jul 1, 2023",30,4,9,5,0
Harvey Barnes,"Dec 9, 1997 (23)",Attack - Left Winger,€35.00m,"Jun 30, 2028","Jul 23, 2023",23,5,3,7,0
Demarai Gray,"Jun 28, 1996 (25)",Attack - Left Winger,€8.00m,"Jun 30, 2027","Sep 7, 2023",25,4,4,6,0
Cengiz Ünder,"Jul 14, 1997 (23)",Attack - Right Winger,€18.00m,"Jun 30, 2027","Aug 13, 2023",33,9,3,20,0
Kelechi Iheanacho,"Oct 3, 1996 (24)",Attack - Centre-Forward,€20.00m,"Jun 30, 2024","Aug 3, 2017",26,6,3,20,1
Ayoze Pérez,"Jul 29, 1993 (27)",Attack - Centre-Forward,€18.00m,"Jun 30, 2027","Jul 6, 2023",38,11,2,7,1
Jamie Vardy,"Jan 11, 1987 (34)",Attack - Centre-Forward,€7.00m,"Jun 30, 2025","Jul 1, 2012",37,20,2,20,0
