Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Kasper Schmeichel,"Nov 5, 1986 (34)",Goalkeeper,€6.00m,"Jun 30, 2023","Jul 1, 2011",53,0,0,8,1
Danny Ward,"Jun 22, 1993 (28)",Goalkeeper,€6.00m,"Jun 30, 2025","Jul 20, 2018",5,0,0,8,0
Çağlar Söyüncü,"May 23, 1996 (25)",Defender - Centre-Back,€45.00m,"Jun 30, 2023","Aug 9, 2018",41,1,0,8,0
Wesley Fofana,"Dec 17, 2000 (20)",Defender - Centre-Back,€40.00m,"Jun 30, 2027","Oct 2, 2020",12,1,0,8,1
Jonny Evans,"Jan 3, 1988 (33)",Defender - Centre-Back,€7.00m,"Jun 30, 2023","Jul 1, 2018",27,2,1,8,0
Daniel Amartey,"Dec 21, 1994 (26)",Defender - Centre-Back,€5.00m,"Jun 30, 2023","Jan 22, 2016",40,1,0,8,0
Luke Thomas,"Jun 10, 2001 (20)",Defender - Left-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",33,0,1,8,0
Ricardo Pereira,"Oct 6, 1993 (27)",Defender - Right-Back,€30.00m,"Jun 30, 2026","Jul 1, 2018",24,2,3,8,0
Timothy Castagne,"Dec 5, 1995 (25)",Defender - Right-Back,€28.00m,"Jun 30, 2025","Sep 3, 2020",36,1,0,8,0
James Justin,"Feb 23, 1998 (23)",Defender - Right-Back,€17.00m,"Jun 30, 2026","Jul 1, 2019",20,0,0,8,0
Wilfred Ndidi,"Dec 16, 1996 (24)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2027","Jan 3, 2017",31,2,1,8,0
Nampalys Mendy,"Jun 23, 1992 (29)",Midfield - Defensive Midfield,€8.00m,"Jun 30, 2023","Jul 3, 2016",18,0,0,8,0
Hamza Choudhury,"Oct 1, 1997 (23)",Midfield - Defensive Midfield,€7.00m,"Jun 30, 2027","Jan 1, 2018",12,0,0,8,0
Youri Tielemans,"May 7, 1997 (24)",Midfield - Central Midfield,€55.00m,"Jun 30, 2023","Jul 8, 2019",50,7,5,8,0
Dennis Praet,"May 14, 1994 (27)",Midfield - Central Midfield,€18.00m,"Jun 30, 2024","Aug 8, 2019",24,2,2,8,0
Kiernan Dewsbury-Hall,"Sep 6, 1998 (22)",Midfield - Central Midfield,€22.00m,"Jun 30, 2027","Jul 1, 2021",44,3,3,8,0
James Maddison,"Nov 23, 1996 (24)",Midfield - Attacking Midfield,€55.00m,"Jun 30, 2024","Jul 1, 2018",53,18,12,8,0
Harvey Barnes,"Dec 9, 1997 (23)",Attack - Left Winger,€35.00m,"Jun 30, 2025","Jul 1, 2018",48,11,14,8,0
Demarai Gray,"Jun 28, 1996 (25)",Attack - Left Winger,€8.00m,"Jun 30, 2024","Jul 22, 2021",39,6,5,16,0
Cengiz Ünder,"Jul 14, 1997 (23)",Attack - Right Winger,€18.00m,"Jun 30, 2023","Jul 16, 2017",47,13,6,6,1
Kelechi Iheanacho,"Oct 3, 1996 (24)",Attack - Centre-Forward,€20.00m,"Jun 30, 2024","Aug 3, 2017",43,8,9,8,0
Ayoze Pérez,"Jul 29, 1993 (27)",Attack - Centre-Forward,€18.00m,"Jun 30, 2023","Jul 4, 2019",25,3,5,8,0
Jamie Vardy,"Jan 11, 1987 (34)",Attack - Centre-Forward,€7.00m,"Jun 30, 2025","Jul 1, 2012",33,17,2,8,0
