Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alphonse Areola,"Feb 27, 1993 (28)",Goalkeeper,€17.00m,"Jun 30, 2027","Jul 1, 2022",33,0,0,9,'0'
Marek Rodák,"Dec 13, 1996 (24)",Goalkeeper,€5.00m,"Jun 30, 2024","Jul 1, 2019",5,0,0,13,'1'
Marcus Bettinelli,"May 24, 1992 (29)",Goalkeeper,€2.50m,"Jun 30, 2026","Jul 28, 2021",0,0,0,6,'0'
Fabri,"Dec 31, 1987 (33)",Goalkeeper,€600k,"Jun 30, 2024","Jul 27, 2023",1,0,0,20,'0'
Joachim Andersen,"May 31, 1996 (25)",Defender - Centre-Back,€22.00m,"Jun 30, 2026","Jul 28, 2021",40,2,3,10,'1'
Tosin Adarabioyo,"Sep 24, 1997 (23)",Defender - Centre-Back,€12.00m,"Jun 30, 2024","Oct 5, 2020",25,2,0,13,'1'
Michael Hector,"Jul 19, 1992 (28)",Defender - Centre-Back,€3.50m,"Jun 30, 2024","Jan 31, 2023",36,0,1,20,'1'
Terence Kongolo,"Feb 14, 1994 (27)",Defender - Centre-Back,€3.50m,"Sep 2, 2024","Oct 16, 2020",15,0,1,13,'1'
Tim Ream,"Oct 5, 1987 (33)",Defender - Centre-Back,€600k,"Aug 27, 2024","Aug 20, 2015",33,2,0,13,'1'
Antonee Robinson,"Aug 8, 1997 (23)",Defender - Left-Back,€7.00m,"Jun 30, 2028","Aug 20, 2020",44,0,6,13,'0'
Joe Bryan,"Sep 17, 1993 (27)",Defender - Left-Back,€5.00m,"Jun 30, 2027","Jul 1, 2023",25,2,1,20,'0'
Ola Aina,"Oct 8, 1996 (24)",Defender - Right-Back,€6.00m,"Jun 30, 2025","Jul 22, 2023",22,1,1,17,'0'
Kenny Tete,"Oct 9, 1995 (25)",Defender - Right-Back,€5.00m,"Jun 30, 2025","Sep 10, 2020",19,1,0,13,'0'
Steven Sessegnon,"May 18, 2000 (21)",Defender - Right-Back,€2.00m,"Jun 30, 2025","Aug 26, 2023",29,1,0,20,'0'
Cyrus Christie,"Sep 30, 1992 (28)",Defender - Right-Back,€1.50m,"Jun 30, 2024","Aug 26, 2022",28,0,2,20,'0'
Denis Odoi,"May 27, 1988 (33)",Defender - Right-Back,€600k,"Jun 30, 2024","Jan 31, 2022",39,3,0,20,'1'
Mario Lemina,"Sep 1, 1993 (27)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2025","Jan 13, 2023",39,5,1,14,'1'
Jean Michaël Seri,"Jul 19, 1991 (29)",Midfield - Defensive Midfield,€4.00m,"Aug 22, 2024","Jul 8, 2022",39,1,4,20,'1'
Kevin McDonald,"Nov 4, 1988 (32)",Midfield - Defensive Midfield,€800k,"Jun 30, 2024","Jul 1, 2023",23,0,3,20,'1'
Frank Anguissa,"Nov 16, 1995 (25)",Midfield - Central Midfield,€25.00m,"Jun 30, 2025","Jul 1, 2022",41,1,3,8,'0'
Ruben Loftus-Cheek,"Jan 23, 1996 (25)",Midfield - Central Midfield,€18.00m,"Jun 30, 2027","Jul 1, 2023",40,10,2,2,'0'
Harrison Reed,"Jan 27, 1995 (26)",Midfield - Central Midfield,€10.00m,"Jun 30, 2027","Aug 30, 2020",34,0,2,13,'0'
Tom Cairney,"Jan 20, 1991 (30)",Midfield - Central Midfield,€9.00m,"Jun 30, 2025","Jul 1, 2015",42,2,4,13,'0'
Stefan Johansen,"Jan 8, 1991 (30)",Midfield - Central Midfield,€2.00m,"Jan 1, 2025","Feb 14, 2024",31,6,6,20,'0'
Tyrese Francois,"Jul 16, 2000 (20)",Midfield - Central Midfield,€150k,"Jun 30, 2024","Jul 1, 2021",21,0,2,13,'1'
Fábio Carvalho,"Aug 30, 2002 (18)",Midfield - Attacking Midfield,€250k,"Jun 30, 2027","Jul 1, 2022",35,9,2,3,'1'
Ivan Cavaleiro,"Oct 18, 1993 (27)",Attack - Left Winger,€7.00m,"Jun 30, 2024","Aug 10, 2023",28,1,2,4,'1'
Neeskens Kebano,"Mar 10, 1992 (29)",Attack - Left Winger,€1.00m,"Jun 30, 2025","Jul 8, 2023",30,6,6,20,'0'
Bobby De Cordova-Reid,"Feb 2, 1993 (28)",Attack - Right Winger,€10.00m,"Jun 30, 2024","Jan 24, 2020",41,7,4,13,'1'
Anthony Knockaert,"Nov 20, 1991 (29)",Attack - Right Winger,€3.00m,"Jun 30, 2024","Sep 1, 2023",26,1,2,13,'1'
Ademola Lookman,"Oct 20, 1997 (23)",Attack - Second Striker,€11.00m,"Jun 30, 2026","Aug 4, 2022",45,17,9,4,'0'
Aleksandar Mitrović,"Sep 16, 1994 (26)",Attack - Centre-Forward,€16.00m,"Jun 30, 2026","Aug 19, 2023",44,40,8,1,'0'
