Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Aaron Ramsdale,"May 14, 1998 (23)",Goalkeeper,€12.00m,"Jun 30, 2026","Aug 20, 2021",11,0,0,2,1
Michael Verrips,"Dec 3, 1996 (24)",Goalkeeper,€900k,"Jun 30, 2024","Jul 1, 2022",24,0,0,20,1
Wes Foderingham,"Jan 14, 1991 (30)",Goalkeeper,€400k,"Jun 30, 2024","Jul 27, 2020",31,0,0,20,1
Simon Moore,"May 19, 1990 (31)",Goalkeeper,€400k,"Jun 30, 2024","Jul 3, 2021",0,0,0,20,1
Jake Eastwood,"Oct 3, 1996 (24)",Goalkeeper,€100k,"Jun 30, 2025","Jul 4, 2023",22,0,0,20,0
John Egan,"Oct 20, 1992 (28)",Defender - Centre-Back,€9.00m,"Jun 30, 2024","Jul 19, 2018",7,0,0,20,1
Jack Robinson,"Sep 1, 1993 (27)",Defender - Centre-Back,€2.00m,"Jun 30, 2025","Jan 21, 2020",35,1,1,20,0
Enda Stevens,"Jul 9, 1990 (30)",Defender - Left-Back,€3.50m,"Jun 30, 2025","Jul 5, 2023",21,0,1,20,0
Max Lowe,"May 11, 1997 (24)",Defender - Left-Back,€3.00m,"Jun 30, 2024","Sep 7, 2020",10,0,1,20,1
Rhys Norrington-Davies,"Apr 22, 1999 (22)",Defender - Left-Back,€1.50m,"Jun 30, 2027","Jul 1, 2019",7,0,0,20,0
Jayden Bogle,"Jul 27, 2000 (20)",Defender - Right-Back,€7.00m,"Jun 30, 2025","Sep 7, 2020",36,3,1,20,1
George Baldock,"Mar 9, 1993 (28)",Defender - Right-Back,€5.00m,"Jun 30, 2024","Jul 1, 2017",13,0,1,20,1
Sander Berge,"Feb 14, 1998 (23)",Midfield - Defensive Midfield,€18.00m,"Jun 30, 2027","Aug 9, 2023",40,2,2,19,1
Ethan Ampadu,"Sep 14, 2000 (20)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2027","Jul 19, 2023",54,2,2,20,0
John Lundstram,"Feb 18, 1994 (27)",Midfield - Central Midfield,€7.00m,"Jun 30, 2024","Jul 5, 2021",53,2,8,20,1
John Fleck,"Aug 24, 1991 (29)",Midfield - Central Midfield,€5.00m,"Jun 30, 2024","Feb 1, 2024",5,0,0,20,1
Oliver Norwood,"Apr 12, 1991 (30)",Midfield - Central Midfield,€5.00m,"Jun 30, 2024","Jan 4, 2019",30,1,1,20,1
Ben Osborn,"Aug 5, 1994 (26)",Midfield - Central Midfield,€2.00m,"Jun 30, 2024","Jul 26, 2019",26,0,2,20,1
Luke Freeman,"Mar 22, 1992 (29)",Midfield - Attacking Midfield,€2.00m,"Jun 30, 2024","Jan 31, 2024",12,1,1,20,1
Iliman Ndiaye,"Mar 6, 2000 (21)",Attack - Left Winger,€22.00m,"Jun 30, 2028","Aug 1, 2023",46,4,5,8,1
Rhian Brewster,"Apr 1, 2000 (21)",Attack - Centre-Forward,€12.00m,"Jun 30, 2025","Oct 2, 2020",14,0,0,20,0
Oli McBurnie,"Jun 4, 1996 (25)",Attack - Centre-Forward,€10.00m,"Jun 30, 2024","Aug 2, 2019",23,6,3,20,1
