Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Lukasz Fabianski,"Apr 18, 1985 (36)",Goalkeeper,€1.50m,"Jun 30, 2025","Jul 1, 2018",23,0,0,9,0
Darren Randolph,"May 12, 1987 (34)",Goalkeeper,€1.50m,"Jun 30, 2024","Jan 26, 2023",0,0,0,12,0
Nathan Trott,"Nov 21, 1998 (22)",Goalkeeper,€250k,"Jun 30, 2026","Jul 1, 2022",31,0,0,9,1
Issa Diop,"Jan 9, 1997 (24)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Aug 10, 2022",25,1,0,13,0
Fabián Balbuena,"Aug 23, 1991 (29)",Defender - Centre-Back,€5.00m,"Jun 30, 2022","Jul 9, 2021",33,3,2,20,0
Craig Dawson,"May 6, 1990 (31)",Defender - Centre-Back,€3.00m,"Jun 30, 2025","Jan 22, 2023",28,1,1,14,0
Angelo Ogbonna,"May 23, 1988 (33)",Defender - Centre-Back,€2.50m,"Jun 30, 2024","Jul 10, 2015",17,0,0,9,1
Arthur Masuaku,"Nov 7, 1993 (27)",Defender - Left-Back,€7.00m,"Jun 30, 2025","Jul 1, 2023",29,0,2,20,0
Aaron Cresswell,"Dec 15, 1989 (31)",Defender - Left-Back,€5.00m,"Jun 30, 2025","Jul 3, 2014",18,1,0,9,0
Vladimír Coufal,"Aug 22, 1992 (28)",Defender - Right-Back,€12.00m,"Jun 30, 2025","Oct 2, 2020",47,0,7,9,0
Ben Johnson,"Jan 24, 2000 (21)",Defender - Right-Back,€3.00m,"Jun 30, 2024","Jul 1, 2020",25,0,1,9,1
Ryan Fredericks,"Oct 10, 1992 (28)",Defender - Right-Back,€2.50m,"Jun 30, 2024","Jul 1, 2022",0,0,0,12,0
Tomas Soucek,"Feb 27, 1995 (26)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2027","Jul 27, 2020",52,10,3,9,0
Conor Coventry,"Mar 25, 2000 (21)",Midfield - Defensive Midfield,€1.20m,"Jun 30, 2027","Jan 12, 2024",22,1,1,9,0
Declan Rice,"Jan 14, 1999 (22)",Midfield - Central Midfield,€110.00m,"Jun 30, 2028","Jul 15, 2023",51,7,10,2,0
Pablo Fornals,"Feb 22, 1996 (25)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2029","Feb 1, 2024",38,3,2,7,0
Manuel Lanzini,"Feb 15, 1993 (28)",Midfield - Attacking Midfield,€10.00m,"Dec 31, 2025","Aug 2, 2023",29,1,1,20,0
Saïd Benrahma,"Aug 10, 1995 (25)",Attack - Left Winger,€22.00m,"Jun 30, 2026","Jan 29, 2021",37,3,6,9,1
Felipe Anderson,"Apr 15, 1993 (28)",Attack - Left Winger,€10.00m,"Jun 30, 2024","Jul 16, 2021",75,7,9,7,1
Xande Silva,"Mar 16, 1997 (24)",Attack - Left Winger,€800k,"Dec 31, 2025","Jan 31, 2024",30,3,2,20,0
Jarrod Bowen,"Dec 20, 1996 (24)",Attack - Right Winger,€30.00m,"Jun 30, 2030","Jan 31, 2020",44,20,10,9,0
Andriy Yarmolenko,"Oct 23, 1989 (31)",Attack - Right Winger,€4.00m,"Jun 30, 2025","Jul 1, 2023",20,8,5,20,0
Michail Antonio,"Mar 28, 1990 (31)",Attack - Centre-Forward,€12.00m,"Jun 30, 2025","Sep 1, 2015",32,7,5,9,0
